name,minutes,goals,assists,age,yellow,red
J. Butland,0,0,0,23,0,0
S. Given,450,0,0,40,1,0
L. Grant,990,0,0,33,0,0
J. Haugaard,0,0,0,24,0,0
P. Bardsley,662,0,0,31,2,0
G. Cameron,630,0,0,31,0,0
Dionatan,0,0,0,24,0,0
G. Johnson,663,0,0,32,0,0
B. Martins Indi,1170,0,0,24,0,0
Muniesa,287,1,0,24,1,0
E. Pieters,1350,0,0,28,2,0
R. Shawcross,1170,0,1,29,3,0
C. Adam,664,1,0,31,3,0
I. Afellay,0,0,0,30,0,0
J. Allen,1192,4,2,26,5,0
G. Imbula,581,0,0,24,1,0
S. Ireland,0,0,0,30,0,0
X. Shaqiri,858,3,0,25,1,0
O. Shenton,0,0,0,19,0,0
T. Verlinden,0,0,0,17,0,0
G. Whelan,1041,0,1,32,2,0
M. Arnautović,1238,1,2,27,5,1
W. Bony,684,2,0,28,1,0
P. Crouch,196,0,0,35,0,0
M. Diouf,570,0,1,28,1,0
Bojan,363,2,0,26,1,0
J. Ngoy,4,0,0,19,0,0
Ramadan Sobhi,171,1,0,19,0,0
J. Walters,659,1,1,33,0,0
W. Hennessey,540,0,0,29,1,0
S. Mandanda,810,0,0,31,0,0
J. Speroni,0,0,0,37,0,0
S. Dann,990,2,1,29,2,0
D. Delaney,1026,0,0,35,2,0
Z. Fryers,164,0,1,24,0,0
M. Kelly,859,0,1,26,1,0
P. Souaré,270,0,0,26,0,0
J. Tomkins,773,3,0,27,2,0
J. Ward,1348,0,1,27,1,0
Y. Cabaye,744,1,0,30,5,0
L. Dreher,0,0,0,18,0,0
M. Flamini,19,0,0,32,0,0
J. Ledley,762,1,0,29,0,0
Chung-Yong Lee,283,0,1,28,0,0
J. McArthur,1081,4,2,29,4,0
J. Mutch,8,0,0,25,0,0
M. Phillips,0,0,0,19,0,0
J. Puncheon,1142,0,3,30,5,0
B. Sako,22,0,0,28,0,0
A. Townsend,1098,1,0,25,3,0
B. Wynter,0,0,0,19,0,0
W. Zaha,1194,3,6,24,3,0
K. Appiah,0,0,0,26,0,0
J. Benteke,6,0,0,21,0,0
C. Benteke,1155,8,1,26,3,0
F. Campbell,32,1,0,29,0,0
L. Rémy,0,0,0,29,0,0
C. Wickham,410,2,0,23,1,0
M. Birighitti,0,0,0,25,0,0
Ł. Fabiański,1350,0,0,31,1,0
K. Nordfeldt,0,0,0,27,0,0
G. Tremmel,0,0,0,38,0,0
Jordi Amat,1080,0,0,24,4,0
F. Fernández,720,0,1,27,3,0
S. Kingsley,586,0,0,22,0,0
A. Mawson,360,0,0,22,0,0
K. Naughton,1117,0,0,28,3,0
Àngel Rangel,474,0,0,34,1,0
N. Taylor,581,0,1,27,1,0
M. van der Hoorn,540,1,0,24,1,0
L. Britton,512,0,0,34,2,0
J. Cork,945,0,0,27,2,0
N. Dyer,14,0,0,29,0,0
L. Fer,1060,6,0,26,3,0
J. Fulton,331,0,0,22,2,0
D. James,0,0,0,19,0,0
Sung-Yeung Ki,542,0,0,27,0,0
J. Montero,240,0,1,27,0,0
W. Routledge,895,1,0,31,1,0
G. Sigurðsson,1258,5,5,27,1,0
M. Barrow,1011,0,2,24,1,0
Borja Bastón,374,1,0,24,0,0
Llorente,850,5,0,31,0,0
O. McBurnie,10,0,0,20,0,0
T. Heaton,1170,0,0,30,1,0
N. Pope,0,0,0,24,0,0
P. Robinson,180,0,0,37,0,0
T. Darikwa,0,0,0,24,0,0
J. Flanagan,224,0,0,23,1,0
M. Keane,1350,1,0,23,1,0
K. Long,0,0,0,26,0,0
M. Lowton,1260,0,1,27,4,0
B. Mee,1350,0,0,27,1,0
