team,country,name,minutes,goals,assists,age,position,yellow,red
Arsenal,England,Y. Sanogo,0,0,0,23,A,0,0
Arsenal,England,D. Welbeck,0,0,0,26,A,0,0
Arsenal,England,T. Walcott,1186,7,2,27,A,0,0
Arsenal,England,C. Willock,0,0,0,18,A,0,0
Manchester United,England,De Gea,1350,0,0,26,G,1,0
Manchester United,England,S. Johnstone,0,0,0,23,G,0,0
Manchester United,England,S. Romero,0,0,0,29,G,0,0
Manchester United,England,E. Bailly,777,0,0,22,D,3,0
Manchester United,England,M. Darmian,514,0,0,27,D,1,0
Manchester United,England,P. Jones,450,0,0,24,D,0,0
Manchester United,England,M. Rojo,578,0,0,26,D,1,0
Manchester United,England,L. Shaw,526,0,0,21,D,0,0
Manchester United,England,C. Smalling,451,1,0,27,D,0,0
Manchester United,England,A. Tuanzebe,0,0,0,19,D,0,0
Manchester United,England,D. Blind,836,0,2,26,M,0,0
Manchester United,England,M. Carrick,372,0,0,35,M,0,0
Manchester United,England,M. Fellaini,703,0,0,29,M,6,0
Manchester United,England,T. Fosu-Mensah,0,0,0,18,M,0,0
Manchester United,England,Ander Herrera,924,0,2,27,M,3,0
Manchester United,England,J. Lingard,423,0,1,23,M,0,0
Manchester United,England,Mata,752,3,1,28,M,2,0
Manchester United,England,H. Mkhitaryan,300,1,0,27,M,1,0
Manchester United,England,P. Pogba,1260,2,1,23,M,5,0
Manchester United,England,M. Schneiderlin,11,0,0,27,M,0,0
Manchester United,England,B. Schweinsteiger,0,0,0,32,M,0,0
Manchester United,England,A. Valencia,1142,0,0,31,M,3,0
Manchester United,England,A. Young,235,0,0,31,M,1,0
Manchester United,England,M. Depay,20,0,0,22,A,1,0
Manchester United,England,Z. Ibrahimović,1260,8,0,35,A,4,0
Manchester United,England,A. Martial,540,1,3,21,A,0,0
Manchester United,England,M. Rashford,755,3,0,19,A,1,0
Manchester United,England,W. Rooney,649,1,4,31,A,4,0
Manchester United,England,J. Wilson,0,0,0,21,A,0,0
Everton,England,M. Hewelt,0,0,0,20,G,0,0
Everton,England,Joel Robles,90,0,0,26,G,0,0
Everton,England,M. Stekelenburg,1260,0,0,34,G,2,0
Everton,England,L. Baines,796,1,0,32,D,2,0
Everton,England,M. Bešić,0,0,0,24,D,0,0
Everton,England,T. Browning,0,0,0,22,D,0,0
Everton,England,S. Coleman,1057,2,0,28,D,2,0
Everton,England,Ramiro Funes Mori,555,0,0,25,D,0,0
Everton,England,M. Holgate,293,0,1,20,D,0,0
Everton,England,P. Jagielka,1080,0,0,34,D,2,0
Everton,England,B. Oviedo,477,0,0,26,D,3,0
Everton,England,M. Pennington,0,0,0,22,D,0,0
Everton,England,A. Williams,1179,0,0,32,D,2,0
Everton,England,R. Barkley,1021,2,1,23,M,2,0
Everton,England,G. Barry,1196,2,1,35,M,6,0
Everton,England,Y. Bolasie,1028,1,4,27,M,2,0
Everton,England,D. Calvert-Lewin,0,0,0,19,M,0,0
Everton,England,T. Cleverley,400,0,0,27,M,1,0
Everton,England,T. Davies,40,0,0,18,M,0,0
Everton,England,K. Dowell,0,0,0,19,M,0,0
Everton,England,D. Gibson,0,0,0,29,M,0,0
Everton,England,I. Gueye,1218,0,1,27,M,5,0
Everton,England,A. Lennon,185,0,1,29,M,0,0
Everton,England,J. McCarthy,323,0,0,26,M,1,0
Everton,England,Deulofeu,456,0,0,22,A,1,0
Everton,England,M. Donohue,0,0,0,19,A,0,0
Everton,England,A. Koné,43,0,0,33,A,0,0
Everton,England,R. Lukaku,1197,9,3,23,A,2,0
Everton,England,C. McAleny,0,0,0,24,A,0,0
Everton,England,K. Mirallas,868,1,1,29,A,1,0
Everton,England,O. Niasse,0,0,0,26,A,0,0
Everton,England,L. Rodríguez,0,0,0,24,A,0,0
Everton,England,E. Valencia,88,0,0,27,A,0,0
Southampton,England,F. Forster,1350,0,0,28,G,2,0
Southampton,England,H. Lewis,0,0,0,18,G,0,0
Southampton,England,A. McCarthy,0,0,0,27,G,0,0
Southampton,England,S. Taylor,0,0,0,36,G,0,0
Southampton,England,Cédric Soares,825,0,0,25,D,1,0
Southampton,England,R. Bertrand,798,0,1,27,D,2,0
Southampton,England,José Fonte,1260,0,0,32,D,2,0
Southampton,England,F. Gardoş,0,0,0,28,D,0,0
Southampton,England,R. Martina,433,0,0,27,D,0,0
Southampton,England,J. Stephens,0,0,0,22,D,0,0
Southampton,England,M. Targett,284,0,0,21,D,0,0
Southampton,England,V. van Dijk,1350,0,0,25,D,3,0
Southampton,England,M. Yoshida,180,0,0,28,D,1,0
Southampton,England,S. Boufal,288,1,0,23,M,1,0
Southampton,England,J. Clasie,587,0,0,25,M,2,0
Southampton,England,S. Davis,1074,0,1,31,M,1,0
Southampton,England,J. Hesketh,0,0,0,20,M,0,0
Southampton,England,P. Højbjerg,711,0,0,21,M,1,0
Southampton,England,L. Isgrove,0,0,0,23,M,0,0
Southampton,England,S. McQueen,288,0,0,21,M,0,0
Southampton,England,J. Pied,11,0,0,27,M,0,0
Southampton,England,N. Redmond,1278,3,0,22,M,1,0
Southampton,England,H. Reed,12,0,0,21,M,0,0
Southampton,England,Oriol Romeu,1272,0,0,25,M,4,0
Southampton,England,J. Sims,115,0,1,19,M,0,0
Southampton,England,D. Tadić,909,1,0,28,M,3,0
Southampton,England,J. Ward-Prowse,382,1,2,22,M,0,0
Southampton,England,C. Austin,871,6,1,27,A,1,0
Southampton,England,S. Long,367,0,0,29,A,1,0
Southampton,England,O. Olomola,0,0,0,19,A,0,0
Southampton,England,J. Rodriguez,205,1,0,27,A,0,0
AFC Bournemouth,England,R. Allsop,0,0,0,24,G,0,0
AFC Bournemouth,England,A. Boruc,1170,0,0,36,G,1,0
AFC Bournemouth,England,A. Federici,180,0,0,31,G,1,0
AFC Bournemouth,England,J. Holmes,0,0,0,19,G,0,0
AFC Bournemouth,England,N. Aké,373,2,0,21,D,0,0
AFC Bournemouth,England,C. Buckley,0,0,0,20,D,0,0
AFC Bournemouth,England,S. Cook,1350,2,0,25,D,2,0
AFC Bournemouth,England,C. Daniels,1170,2,1,30,D,1,0
AFC Bournemouth,England,S. Francis,1350,0,1,31,D,3,0
AFC Bournemouth,England,O. Harfield,0,0,0,18,D,0,0
AFC Bournemouth,England,C. Jordan,0,0,0,17,D,0,0
AFC Bournemouth,England,J. Lee,0,0,0,19,D,0,0
AFC Bournemouth,England,T. Mings,0,0,0,23,D,0,0
AFC Bournemouth,England,A. Smith,1260,1,3,25,D,5,0
AFC Bournemouth,England,B. Smith,81,0,0,22,D,1,0
AFC Bournemouth,England,M. Wilson,0,0,0,29,D,0,0
AFC Bournemouth,England,H. Arter,1306,0,2,26,M,5,0
AFC Bournemouth,England,L. Cook,81,0,0,19,M,0,0
AFC Bournemouth,England,R. Fraser,330,1,1,22,M,0,0
AFC Bournemouth,England,D. Gosling,638,2,0,26,M,4,0
AFC Bournemouth,England,M. Gradel,90,0,0,29,M,1,0
AFC Bournemouth,England,E. Hyndman,0,0,0,20,M,0,0
AFC Bournemouth,England,J. Ibe,739,0,0,21,M,0,0
AFC Bournemouth,England,K. O'Connell,0,0,0,17,M,0,0
AFC Bournemouth,England,M. Pugh,18,0,1,29,M,0,0
AFC Bournemouth,England,J. Stanislas,716,3,3,27,M,1,0
AFC Bournemouth,England,A. Surman,810,0,0,30,M,1,0
AFC Bournemouth,England,J. Wilshere,805,0,0,24,M,2,0
AFC Bournemouth,England,B. Afobe,261,1,1,23,A,0,0
AFC Bournemouth,England,L. Grabban,57,0,1,28,A,0,0
AFC Bournemouth,England,J. King,993,2,1,24,A,1,0
AFC Bournemouth,England,L. Mousset,23,0,0,20,A,0,0
AFC Bournemouth,England,C. Wilson,1036,5,0,24,A,0,0
West Bromwich Albion,England,B. Foster,1350,0,0,33,G,0,0
West Bromwich Albion,England,G. Myhill,0,0,0,34,G,0,0
West Bromwich Albion,England,A. Palmer,0,0,0,20,G,0,0
West Bromwich Albion,England,J. Rose,0,0,0,21,G,0,0
West Bromwich Albion,England,C. Dawson,1350,0,0,26,D,5,0
West Bromwich Albion,England,J. Evans,1260,1,0,28,D,6,0
West Bromwich Albion,England,B. Galloway,248,0,0,20,D,0,0
West Bromwich Albion,England,G. McAuley,1350,3,0,37,D,3,0
West Bromwich Albion,England,A. Nyom,922,0,1,28,D,2,0
West Bromwich Albion,England,J. Olsson,321,0,0,33,D,2,0
West Bromwich Albion,England,K. Wilson,0,0,0,16,D,0,0
West Bromwich Albion,England,C. Brunt,589,1,1,31,M,2,0
West Bromwich Albion,England,N. Chadli,648,4,2,27,M,1,0
West Bromwich Albion,England,S. Field,166,0,0,18,M,1,0
West Bromwich Albion,England,D. Fletcher,1267,1,1,32,M,0,0
West Bromwich Albion,England,C. Gardner,200,0,1,30,M,1,0
West Bromwich Albion,England,J. McClean,657,1,1,27,M,5,0
West Bromwich Albion,England,C. McManaman,0,0,0,25,M,0,0
West Bromwich Albion,England,J. Morrison,514,2,1,30,M,2,0
West Bromwich Albion,England,M. Phillips,1132,3,4,25,M,0,0
West Bromwich Albion,England,H. Robson-Kanu,70,0,1,27,M,0,0
West Bromwich Albion,England,C. Yacob,1196,0,0,29,M,6,0
West Bromwich Albion,England,S. Berahino,245,0,0,23,A,1,0
West Bromwich Albion,England,J. Leko,82,0,1,17,A,0,0
